Indiv,GrainYield
RIL001,45.85452584976204
RIL002,53.44299007768982
RIL003,46.07564345019734
RIL004,44.24960925158583
RIL005,56.65070387741105
RIL006,
RIL007,56.60270669843234
RIL008,51.87963320481048
RIL009,54.880551402713486
RIL010,47.47589865399219
RIL011,53.91852312095328
RIL012,45.277394434908615
RIL013,44.42422997819465
RIL014,56.48139787752568
RIL015,47.4273090150906
RIL016,45.06971403481115
RIL017,47.885889726247264
RIL018,50.178151371153696
RIL019,45.668032349593425
RIL020,56.44085396697914
RIL021,43.43136646828471
RIL022,52.50471257872194
RIL023,49.66549634132677
RIL024,44.61431767641041
RIL025,42.32512598941805
RIL026,56.13795648521577
RIL027,54.11237798865967
RIL028,45.47908941400311
RIL029,55.78527843967155
RIL030,51.803158783075276
RIL031,57.37150863642376
RIL032,34.86827102898221
RIL033,44.497854992800164
RIL034,54.277630300310484
RIL035,45.235109963784744
RIL036,42.34094662608205
RIL037,38.35720546917846
RIL038,43.001786416196815
RIL039,43.412989593671114
RIL040,54.98184563313587
RIL041,51.00335723373527
RIL042,40.53248247296396
RIL043,55.57940793025063
RIL044,51.04629795907083
RIL045,57.40809089780685
RIL046,58.97239628991327
RIL047,49.33060946904266
RIL048,
RIL049,42.89971962516066
RIL050,51.498833780901286
RIL051,58.477228795568124
RIL052,55.026206618260645
RIL053,50.38998162957112
RIL054,48.91007193329155
RIL055,54.4616550376444
RIL056,43.753991877977796
RIL057,53.57684874953176
RIL058,48.62805838253312
RIL059,44.99013996700063
RIL060,47.49611605932623
RIL061,47.33736666562787
RIL062,56.090191554221896
RIL063,49.770096304651936
RIL064,47.970110935242715
RIL065,40.03760601432991
RIL066,51.980949051590365
RIL067,50.28898582207118
RIL068,52.89862742790407
RIL069,56.03629708804863
RIL070,54.11159247927775
RIL071,54.72742669206165
RIL072,43.07197685189598
RIL073,62.39953827213674
RIL074,57.51886710481548
RIL075,46.21036633893628
RIL076,58.2583855380596
RIL077,50.89714974804719
RIL078,
RIL079,46.954547390934835
RIL080,55.90190005893549
RIL081,55.4944037426863
RIL082,67.83274469442935
RIL083,47.94304373153744
RIL084,56.32680079492018
RIL085,41.695909889053816
RIL086,43.8944930936548
RIL087,56.49744696822498
RIL088,44.55339365899169
RIL089,49.30591670835887
RIL090,53.114335193953764
RIL091,50.76095306354075
RIL092,45.6429589007967
RIL093,60.5226788144751
RIL094,52.4451114848774
RIL095,44.8874371773582
RIL096,58.297922584504164
RIL097,43.021960882266846
RIL098,54.27733937175279
RIL099,56.17557342997575
RIL100,52.01248166401908
RIL101,50.61866651506712
RIL102,49.95148856526011
RIL103,43.63739801170223
RIL104,48.69847427535474
RIL105,
RIL106,46.264109581136246
RIL107,47.58042371120931
RIL108,52.77738788543417
RIL109,52.653446819535894
RIL110,47.85013249406571
RIL111,53.07601800806238
RIL112,53.455369757587235
RIL113,
RIL114,54.88939801010093
RIL115,42.322162440920714
RIL116,50.409124727292905
RIL117,62.86641419574832
RIL118,53.09286859404257
RIL119,54.39251318044578
RIL120,52.479150372692274
RIL121,48.549514157832874
RIL122,50.18461449376107
RIL123,40.31333293923908
RIL124,
RIL125,41.56669790467114
RIL126,52.90754540344791
RIL127,53.975356078970336
RIL128,52.487504917445065
RIL129,57.25128091647492
RIL130,52.11025652802669
RIL131,50.79430024946718
RIL132,46.11782403050539
RIL133,60.36257247298381
RIL134,48.004226369466664
RIL135,43.684377086208535
RIL136,65.4216385192666
RIL137,56.925952574618535
RIL138,50.3622777987257
RIL139,55.56079160484974
RIL140,45.20678359005045
RIL141,52.21979387617333
RIL142,45.788520850435134
RIL143,48.162136834748736
RIL144,44.01186685191687
RIL145,63.038851992179914
RIL146,52.772281633059265
RIL147,52.085814682569385
RIL148,48.50907676331703
RIL149,54.59516411616424
RIL150,44.03133871552947
