Indiv,PlantHeight
Ind001,89.83228575797119
Ind002,102.02365930415857
Ind003,87.56801823355823
Ind004,110.62967059132275
Ind005,88.94677136124595
Ind006,113.34157696083116
Ind007,90.09395004422167
Ind008,82.70518382315699
Ind009,96.25808062180842
Ind010,113.4630355117445
Ind011,100.68628113654233
Ind012,79.39651557821074
Ind013,89.38009305168733
Ind014,104.24868362963265
Ind015,98.85860100751906
Ind016,
Ind017,108.11444708244333
Ind018,83.8655141360441
Ind019,80.51680677506201
Ind020,110.86433275215353
Ind021,118.51742714014317
Ind022,97.38930609501632
Ind023,103.69652071462161
Ind024,
Ind025,84.52298093018166
Ind026,109.90053246726464
Ind027,94.20397653847303
Ind028,98.51548190251752
Ind029,75.10549738422101
Ind030,106.96414788782619
Ind031,92.76283386697773
Ind032,103.48660649617729
Ind033,101.0857147065303
Ind034,83.126436142502
Ind035,104.17483410484539
Ind036,83.12402375360443
Ind037,100.16640711532935
Ind038,66.95122997872559
Ind039,98.81172357691389
Ind040,94.71391670378327
Ind041,105.63201509851743
Ind042,124.62444188849449
Ind043,119.00583560202617
Ind044,115.8438380468676
Ind045,121.40729157433397
Ind046,82.81052209783519
Ind047,98.37364897210782
Ind048,95.37364187095409
Ind049,91.22154920690608
Ind050,83.18190024641436
Ind051,114.60591640074148
Ind052,90.86457495900144
Ind053,78.1789882248676
Ind054,109.15474872661655
Ind055,99.411445421389
Ind056,92.8927307486806
Ind057,101.16407444291067
Ind058,83.91771252079457
Ind059,95.73812787621883
Ind060,97.91133646073072
Ind061,98.68737310346161
Ind062,97.539485830409
Ind063,86.7908298831048
Ind064,104.4918597658973
Ind065,98.58880104502191
Ind066,88.16246321035531
Ind067,109.49449838727367
Ind068,106.47951559985063
Ind069,122.0325142263919
Ind070,87.38725577724709
Ind071,96.64056355205346
Ind072,109.61981542149083
Ind073,108.60359047393857
Ind074,95.04004740610253
Ind075,93.14987511427404
Ind076,105.42883691956489
Ind077,94.50555111434093
Ind078,88.66861075518646
Ind079,107.36293564348269
Ind080,90.54803605395746
Ind081,97.11325230535779
Ind082,114.00752752545304
Ind083,84.45791075926469
Ind084,117.0163497552402
Ind085,92.9492110262429
Ind086,108.22872830635686
Ind087,112.59274629961153
Ind088,88.83992918633292
Ind089,110.19744641528636
Ind090,106.4824840159347
Ind091,106.56350530042913
Ind092,95.04494666896016
Ind093,97.27091547350143
Ind094,103.75430924795768
Ind095,84.68667703612991
Ind096,92.46402662362468
Ind097,115.56061962066063
Ind098,104.0485123350392
Ind099,
Ind100,95.9625120368575
Ind101,102.424566202697
Ind102,82.25928885071006
Ind103,117.83853439644567
Ind104,97.89812222735037
Ind105,72.00306346184513
Ind106,106.80378829444928
Ind107,95.29942595964279
Ind108,112.89747798054348
Ind109,96.90293158247282
Ind110,90.94212006927226
Ind111,70.19101129816075
Ind112,92.7125605760639
Ind113,101.63089916746966
Ind114,89.70336034617316
Ind115,92.13913062466378
Ind116,98.59895256062991
Ind117,113.94233098832014
Ind118,97.58721795863949
Ind119,100.54364820465834
Ind120,98.10348587046343
Ind121,117.12950146292334
Ind122,109.3527632208027
Ind123,94.17984047143854
Ind124,79.61733980815451
Ind125,102.86181762894563
Ind126,96.2954713852491
Ind127,81.61991734836768
Ind128,103.9449424762901
Ind129,80.16541009314761
Ind130,102.77162351241097
Ind131,109.48615171056936
Ind132,92.15365037110422
Ind133,104.7937026754047
Ind134,115.36899269843803
Ind135,116.52259444789286
Ind136,94.88339581964722
Ind137,91.43452619956906
Ind138,116.11473317104112
Ind139,78.9170820591443
Ind140,116.34507249480819
Ind141,92.03257320437609
Ind142,107.23817641216237
Ind143,88.70630181930049
Ind144,87.67152763614179
Ind145,104.26563393093433
Ind146,103.1990751534432
Ind147,94.2686657158767
Ind148,88.79481861051786
Ind149,97.55237353683702
Ind150,125.24186532094265
Ind151,105.97469628190164
Ind152,106.957121762396
Ind153,118.67814034522274
Ind154,116.89106328844824
Ind155,97.35317819092322
Ind156,97.96089223305333
Ind157,94.54084219931973
Ind158,101.32433238207201
Ind159,101.83440998613628
Ind160,117.53434937249702
Ind161,103.48524509154392
Ind162,101.41430660157246
Ind163,99.60089126351484
Ind164,113.4670792098899
Ind165,
Ind166,110.7339005319227
Ind167,115.00905441276757
Ind168,107.74521854510613
Ind169,97.52043457391717
Ind170,99.15876204377271
Ind171,87.89281819174627
Ind172,93.61627599484135
Ind173,82.41188058496826
Ind174,95.47167172660923
Ind175,95.51777999006919
Ind176,107.62530119938135
Ind177,115.12983912799011
Ind178,110.93035978165355
Ind179,103.21915804989489
Ind180,116.43467619866112
Ind181,97.4603156896675
Ind182,115.9272614581647
Ind183,106.6073533705586
Ind184,83.12542442696581
Ind185,79.63332543100742
Ind186,102.50153183415638
Ind187,111.57407920535283
Ind188,83.73137965805557
Ind189,111.26934186896413
Ind190,117.18089324182355
Ind191,95.25894254350702
Ind192,102.28535061400028
Ind193,95.02077783357372
Ind194,87.88904913152173
Ind195,101.32386962178398
Ind196,
Ind197,109.78658896900878
Ind198,122.57009880959271
Ind199,106.96822590728713
Ind200,101.54932385008468
